Título,Link
帝王攻略（语笑阑珊）简介,https://www.zhenhunxiaoshuo.com/11102.html
第一章 王城命案,https://www.zhenhunxiaoshuo.com/11106.html
第二章 九玄机,https://www.zhenhunxiaoshuo.com/11107.html
第三章 刘大人来了,https://www.zhenhunxiaoshuo.com/11108.html
第四章 难不成你暗恋沙达,https://www.zhenhunxiaoshuo.com/11109.html
第五章 宫中变动,https://www.zhenhunxiaoshuo.com/11110.html
第六章 菩提心经,https://www.zhenhunxiaoshuo.com/11111.html
第七章 染月楼,https://www.zhenhunxiaoshuo.com/11112.html
第八章 刘府变故,https://www.zhenhunxiaoshuo.com/11113.html
第九章 后山木屋,https://www.zhenhunxiaoshuo.com/11114.html
第十章 一场动乱,https://www.zhenhunxiaoshuo.com/11115.html
第十一章 相见,https://www.zhenhunxiaoshuo.com/11116.html
第十二章 现在这样很好,https://www.zhenhunxiaoshuo.com/11117.html
第十三章 南来的书生,https://www.zhenhunxiaoshuo.com/11118.html
第十四章 西南王莫慌,https://www.zhenhunxiaoshuo.com/11119.html
第十五章 欢天寨,https://www.zhenhunxiaoshuo.com/11120.html
第十六章 这位公公,https://www.zhenhunxiaoshuo.com/11121.html
第十七章 天辰砂,https://www.zhenhunxiaoshuo.com/11122.html
第十八章 翡缅国,https://www.zhenhunxiaoshuo.com/11123.html
第十九章 大雁城,https://www.zhenhunxiaoshuo.com/11124.html
第二十章 私账,https://www.zhenhunxiaoshuo.com/11125.html
第二十一章 木头匣子,https://www.zhenhunxiaoshuo.com/11126.html
第二十二章 -暗室,https://www.zhenhunxiaoshuo.com/11127.html
第二十三章 城外金山,https://www.zhenhunxiaoshuo.com/11128.html
第二十五章 魏紫衣,https://www.zhenhunxiaoshuo.com/11129.html
第二十五章 归来庄,https://www.zhenhunxiaoshuo.com/11130.html
第二十六章 一道回王城,https://www.zhenhunxiaoshuo.com/11131.html
第二十七章 焚星局,https://www.zhenhunxiaoshuo.com/11132.html
第二十八章 木痴老人,https://www.zhenhunxiaoshuo.com/11133.html
第二十九章 高丽王要来,https://www.zhenhunxiaoshuo.com/11134.html
第三十章 紫蟾蜍,https://www.zhenhunxiaoshuo.com/11135.html
第三十一章 比武,https://www.zhenhunxiaoshuo.com/11136.html
第三十二章 心意,https://www.zhenhunxiaoshuo.com/11137.html
第三十三章 计谋,https://www.zhenhunxiaoshuo.com/11138.html
第三十四章 西南菜色,https://www.zhenhunxiaoshuo.com/11139.html
第三十五章 潮崖,https://www.zhenhunxiaoshuo.com/11140.html
第三十六章 迷音,https://www.zhenhunxiaoshuo.com/11141.html
第三十七章 另一个有缘人,https://www.zhenhunxiaoshuo.com/11142.html
第三十八章 苍南州,https://www.zhenhunxiaoshuo.com/11143.html
第三十九章 做个交易,https://www.zhenhunxiaoshuo.com/11144.html
第四十章 寻获,https://www.zhenhunxiaoshuo.com/11145.html
第四十一章 回宫,https://www.zhenhunxiaoshuo.com/11146.html
第四十二章 哥哥的心上人,https://www.zhenhunxiaoshuo.com/11147.html
第四十三章 商谈,https://www.zhenhunxiaoshuo.com/11148.html
第四十四章 玉棺山归来,https://www.zhenhunxiaoshuo.com/11149.html
第四十五章 出巡,https://www.zhenhunxiaoshuo.com/11150.html
第四十六章 高人,https://www.zhenhunxiaoshuo.com/11151.html
第四十七章 潮崖旧事,https://www.zhenhunxiaoshuo.com/11152.html
第四十八章 取蛊,https://www.zhenhunxiaoshuo.com/11153.html
第四十九章 闹鬼,https://www.zhenhunxiaoshuo.com/11154.html
第五十章 练与不练,https://www.zhenhunxiaoshuo.com/11155.html
第五十一章 贪欢,https://www.zhenhunxiaoshuo.com/11156.html
第五十二章 机缘巧合,https://www.zhenhunxiaoshuo.com/11157.html
第五十三章 有人抢徒弟,https://www.zhenhunxiaoshuo.com/11158.html
第五十四章 有媳妇的滋味,https://www.zhenhunxiaoshuo.com/11159.html
第五十五章 苏淮山庄,https://www.zhenhunxiaoshuo.com/11160.html
第五十六章 究竟是谁,https://www.zhenhunxiaoshuo.com/11161.html
第五十七章 玄冥寒铁,https://www.zhenhunxiaoshuo.com/11162.html
第五十八章 妖剑苏醒,https://www.zhenhunxiaoshuo.com/11163.html
第五十九章 没死就是没事,https://www.zhenhunxiaoshuo.com/11164.html
第六十章 演戏,https://www.zhenhunxiaoshuo.com/11165.html
第六十一章 别离,https://www.zhenhunxiaoshuo.com/11166.html
第六十二章 关海城,https://www.zhenhunxiaoshuo.com/11167.html
第六十三章 岛上的南洋人,https://www.zhenhunxiaoshuo.com/11168.html
第六十四章 玄天,https://www.zhenhunxiaoshuo.com/11169.html
第六十五章 妖剑复苏,https://www.zhenhunxiaoshuo.com/11170.html
第六十六章 回宫,https://www.zhenhunxiaoshuo.com/11171.html
第六十七章 先将命保住,https://www.zhenhunxiaoshuo.com/11172.html
第六十八章 闭关,https://www.zhenhunxiaoshuo.com/11173.html
第六十九章 除夕,https://www.zhenhunxiaoshuo.com/11174.html
第七十章 南下,https://www.zhenhunxiaoshuo.com/11175.html
第七十一章 不见,https://www.zhenhunxiaoshuo.com/11176.html
第七十二章 返程,https://www.zhenhunxiaoshuo.com/11177.html
第七十三章 儿时,https://www.zhenhunxiaoshuo.com/11178.html
第七十四章 做个交易,https://www.zhenhunxiaoshuo.com/11179.html
第七十五章 故人,https://www.zhenhunxiaoshuo.com/11180.html
