Capítulo;Título no DOCX;Título no EPUB;Comparação
1;O assassinato na Cidade Imperial;O Caso de Assassinato na Cidade Real;DIFERENTE
2;Torre Nove Mistérios;Nove Mistérios;DIFERENTE
3;A chegada do senhor Liu;Lorde Liu Chegou;DIFERENTE
4;Será possível você ter um amor secreto por Shada?;Será que você está apaixonado(a) pela Shada?;DIFERENTE
5;Uma mudança na corte;Tumulto no Palácio;DIFERENTE
6;Sutra do Coração de Bodhi;Sutra Bodhicitta;DIFERENTE
7;Torre Lua Tingida;Ran Yue Lou;DIFERENTE
8;Incidente na Mansão Liu;A Revolta na Mansão da Família Liu;DIFERENTE
9;A casa de madeira na encosta da montanha;Casa de Madeira na Montanha Atrás;DIFERENTE
10;Um tumulto;Uma Turbulência;DIFERENTE
11;O encontro;Reencontro;DIFERENTE
12;Agora está tudo bem;Está bom como está agora.;DIFERENTE
13;O estudioso de Jiangnan;O Erudito de Jiangnan;DIFERENTE
14;Rei do Sudoeste, não entre em pânico;Rei do Sudoeste, Não Entre em Pânico;IGUAL
15;Huantian;Vila Huan Tian;DIFERENTE
16;Este eunuco;Este Eunuco;IGUAL
17;Areia do Astro Celestial;Areia Celestial;DIFERENTE
18;Fei Mian;O Reino de Feimian;DIFERENTE
19;A cidade Dayan;Cidade dos Gansos Selvagens;DIFERENTE
20;Contas privadas;Contas Privadas;IGUAL
21;A caixa de madeira;A Caixa de Madeira;IGUAL
22;A sala escura;O Quarto Escuro;DIFERENTE
23;A montanha de ouro fora da cidade;A Montanha Dourada nos Fora da Cidade;DIFERENTE
24;Wei Ziyi;Wei Ziyi;IGUAL
25;Gui Lai;Retorno à Vila;DIFERENTE
26;Retorno à Cidade Imperial;Uma Viagem de Retorno à Cidade Real;DIFERENTE
27;Jogo da Fen Xing;O Departamento da Estrela Ardente;DIFERENTE
28;Velho Mu Chi;O Velho Enganado pela Madeira;DIFERENTE
29;O rei de Gao Li está vindo;O Rei de Goryeo está chegando;DIFERENTE
30;O sapo púrpura;O Sapo Roxo;DIFERENTE
31;Duelo;Competição de Artes Marciais;DIFERENTE
32;Intenções;Intenções Sinceras;DIFERENTE
33;Estratégias;Esquemas;DIFERENTE
34;A culinária do Sudoeste;Culinária do Sudoeste;DIFERENTE
35;Chaoya;Penhasco de Maré;DIFERENTE
36;O som misterioso de Chaoya;Os Sons Misteriosos do Penhasco da Maré;DIFERENTE
37;Outra pessoa predestinada;Outra Pessoa Destinada;DIFERENTE
38;Cangnan;Prefeitura de Cangnan;DIFERENTE
39;Faça um acordo;Fazendo um Acordo;DIFERENTE
40;Encontrado;A Descoberta;DIFERENTE
41;Voltando ao palácio;Retornando ao Palácio;DIFERENTE
42;Conheci a pessoa amada do meu irmão;Encontrando a Amada do Meu Irmão;DIFERENTE
43;Discussão;Negociação;DIFERENTE
44;Retorno da Montanha Caixão de Jade;Retorno da Montanha do Caixão de Jade;DIFERENTE
45;Patrulha;A Viagem Imperial;DIFERENTE
46;Especialista;O Mestre;DIFERENTE
47;O passado de Chaoya;Os Antigos Contos de Chaoya;DIFERENTE
48;Removendo Gu;Recuperando o Gu;DIFERENTE
49;Assombração;Assombrado;DIFERENTE
50;Praticar ou não praticar;Praticar ou não praticar;IGUAL
51;Ávido por prazer;Entregando-se ao Prazer;DIFERENTE
52;Por acaso;Um Encontro Casual;DIFERENTE
53;Roubando um discípulo em plena luz do dia;Arrebatando um Discípulo em Plena Luz do Dia;DIFERENTE
54;Como se tivesse uma esposa;O Sabor de Ter uma Esposa;DIFERENTE
55;A Vila Su Huai;Mansão Suhuai;DIFERENTE
56;Afinal, quem é?;Quem é exatamente?;DIFERENTE
57;Ferro Gélido da Escuridão Profunda;Xuanming Ferro Frio;DIFERENTE
58;A espada demoníaca desperta;A Espada Demoníaca Desperta;IGUAL
59;Se não morri, então estou bem;Não estar morto significa que está tudo bem;DIFERENTE
60;Encenação;Capítulo Sessenta Atuando;DIFERENTE
61;Despedida;A Despedida;DIFERENTE
62;Cidade de Guan Hai;Guan Haicheng;DIFERENTE
63;Povo de Nanyang na ilha;Os Asiáticos do Sudeste na Ilha;DIFERENTE
64;Xuan Tian;Céu Misterioso;DIFERENTE
